func,classification
scale_size_identity,
scale_x_reverse,visualization
seq.Date,
st_graticule,
st_is_within_distance,
st_set_geometry,
st_viewport,
stat,
str_which,
sym,
tbl_graph,
time_trend,
tm,
toupper,
Traverse,
tribble,
unite,
writeBin,
add_count,
addProviderTiles,
"c(""white"", ""black"")",
collapse_by,
column_to_rownames,
day,
dnorm,
dollar,
facet_geo,
fct_collapse,
fill,visualization
fliplr,
gdal_metadata,
geom_density_ridges2,visualization
geom_node_text,communication
geom_ridgeline,
geom_step,
getMap,
group_size,
groups,
gtable_add_rows,
gTree,
image_animate,
is.data.frame,
is.unit,
label_wrap_gen,communication
lead,
map.where,
mutate_all,
node,
p2,
parse_pre_1970s_txt,
plain_tweets,
plot_deprecated,
poly,
polylineGrob,
quo,
reactive,
read_stars,
readJPEG,
scale_alpha_continuous,
scale_alpha_manual,
scale_color_cyclical,
scale_fill_gradient2,
st_combine,
st_layers,
st_nearest_points,
st_segmentize,
stringi,
Sys.sleep,
tabItem,
theme_grey,
theme_rot,
time_frequency,
tm_polygons,
tomtom,
transition_manual,
transition_time,
var,
viridis_pal,
add_code_step,
add_osm_feature,
addPolygons,
addTiles,
aes_string,
all_constant,
asreml,
build_treemap,
check_join,
collapsibleTreeNetwork,
continuous_scale,
coord_munch,
CPL_roundtrip,
create_dictionary,
createWidget,
cut_width,
draw_label,
expand_scale,
expect_false,
expect_message,
f1,
flatten_chr,
geom_beeswarm,
geom_diagonal,
geom_linerange,
get_index_quo,
get_legend,
getFromNamespace,
ggbeeswarm,
ggrepel,
ggRGB,
grey.colors,
gtable_add_cols,
h2,
highlightOptions,
HTML,
image_composite,
is.list,
makePlotTopN,
mapview,
mdy_hms,
na_if,
nd,
NextMethod,
not_empty,
opq,
osmdata_sf,
packageStartupMessage,
ragg,
reclassify,
renderValueBox,
roads,
rollify,
rot,
scale_color_gradientn,
scale_fill_nord,
scale_size_manual,
search_term,
set_edge_attr,
sf.colors,
sf_join,
st_dimension,
st_dimensions,
st_proj_info,
st_relate,
st_snap,
st_voronoi,
startsWith,
str_length,
summarise_at,
tesseract,
test_ggplot,
theme_ipsum,
time_recompose,
tk_get_timeseries_variables,
transition_reveal,
triangles3d,
unit_format,
valueBox,
valueBoxOutput,
vc,
vplayout,
wom,
%+replace%,
activate,
add_column,
add_trace,
addLegend,
aperm,
apply_across_groups,
cartogram_dorling,
circleLayoutVertices,
col_character,
comma_format,
compat_as_lazy,
CPL_get_bbox,
create_wordcloud,
cyclical_scale,
dbRemoveTable,
demo,
download_read,
enter_fade,
fct_infreq,
floral_shoppe,
geom_alluvium,
geom_node_circle,
geom_stratum,
get.cell.meta.data,
getRversion,
group_indices,
h3,
html_node,
hue_pal,
image_data,
image_resize,
install_conversion_constant,
IRdisplay,
is_empty,
make_crs,
maps,
message_longlat,
modifyList,
na.contiguous,
outer,
parent.frame,
parse_date_time,
pathGrob,
pickerInput,
pickerOptions,
plot.new,
polygonGrob,
read_lines,
reclass,
remove_symbolic_unit,
rgl.surface,
RPostgreSQL,
scale_alpha,
scale_fill_distiller,
scale_fill_tableau,
show_col,
skip,
skip_on_cran,
st_as_stars,
st_equals,
st_node,
st_polygonize,
start_progress,
stri_trans_general,
symbol,
Sys.setlocale,
theme_ft_rc,
tm_facets,
tools,
update_progress,
wordcloud2,
xml_attrs,
xml_children,
.initial_ordinates,
add_shadow,
add_tally,
addCircleMarkers,
arm,
arrangeGrob,
as.Node,
atanh,
bbox,
ClosePol,
col_datetime,
compute_just,
copy_sfc_attributes_from,
counties_composite,
crop,
custom_theme,
dashboardBody,
dashboardHeader,
dashboardPage,
dashboardSidebar,
dat,
datapasta,
dbDisconnect,
dbSendQuery,
dense_rank,
dev.size,
ensym,
exit_shrink,
find_panel,
font_import,
geom_edge_arc,
geom_ellipse,
geom_lollipop,
geom_text_wordcloud_area,
geom_xspline,
geos_op2_df,
get_assemble,
get_df_names_test,
get_index_col,
get_map,
get_new_postgis_srid,
getbb,
gganimate,
ggpubr,
ggtext,
gh,
glance,
gray.colors,
gray_gen,
group_by_at,
highlight_text,
holed_rect,
ht,
imager,
imap,
invert_color,
is.ggplot,
is.grob,
is.grouped_df,
is.logical,
isAvailable,
jwz,
kl_lim,
labelFormat,
leafletOptions,
leafletOutput,
linAxis,
magick_config,
mask,
mday,
mk_tmap_anim,
na.approx,
nesting,
pack_bars,
palette_light,
Paste0,
percent,
pmin,
position_identity,
position_nudge,
post_tweet,
rate_delay,
RColorBrewer,
rectGrob,
recurse_tags,
renderLeaflet,
renderUI,
saveGIF,
saveWidget,
scale_color_hue,
scale_color_nord,
scale_colour_gradient2,
scale_fill_continuous,
seq_gradient_pal,
set_palette,
set_postgis_crs,
set_vertex_attr,
setMethod,
sf_project,
shadow_mark,
sizingPolicy,
slowly,
st_crop,
st_geometry_type,
st_line_sample,
st_nearest_feature,
st_overlaps,
st_simplify,
st_sym_difference,
st_transform_proj,
st_wrap_dateline,
stat_binline,
stl,
str_glue,
summarise_all,
syms,
target_time_decomposition_scale,
theme_hor,
theme_modern_rc,
theme_pubr,
theme_tq,
theme_tufte,
time_apply,
tm_fill,
tm_layout,
ToListExplicit,
transform_position,
treemap,
turtle_setpos,
vector_paste_vertical,
viewer,
weekdays,
wellPanel,
withLoader,
wrap_elements,
writeLines,
xml_add_sibling,
.Deprecated,
add_attributes,
aes_d,
as.ggassemble,
as.grob,
as.raw,
as_tbl_time,
asNamespace,
augment.LDA,
autoplot,
ave,
biplot,
browseURL,
build_assemble,
cast_dfm,
cast_dtm,
centrality_degree,
chordDiagram,
circle,
circleProgressiveLayout,
classIntervals,
clean_anomalies,
collapsibleTreeOutput,
colorbar,
comma,
corAR1,
counties,
CPL_gdal_version,
CPL_geos_union,
d3heatmap,
dark_theme_classic,
dbDriver,
densf,
dev.capture,
df_status,
draw_group,
draw_panel,
emojifont,
enframe,
enter_appear,
eventReactive,
exit_fade,
expand_gp,
expect_length,
extent,
file_path_sans_ext,
font_families,
format_size,
frink,
funModeling,
g,
geom_chicklet,
geom_count,
geom_emoji,
geom_fit_text,
geom_flag,
geom_link,
geom_node_label,
geom_text_wordcloud,
geom_treemap,
geom_treemap_text,
get_postgis_crs,
get_sentiments,
get_stage,
get_stopwords,
get_x,
get_y,
gge,
ggRadar,
google_geocode,
grid.lines,
grouped_mapper,
helpText,
html_attr,
html_attrs,
identify,
if_pt,
igraph,
Image,
image_flop,
is,
is.empty,
is.finite,
is.integer,
is_symmetric,
last_animation,
magick_image_readbitmap_raw,
make_cell,
methods,
min_rank,
ms_simplify,
my_mean,
nearPoints,
need_close,
new_quosure,
new_retro,
nlevels,
p_inf,
p3,
pairwise_cor,
plot.window,
plot_3d,
plot_filler,
plot_geo,
plot_gg,
plot_map,
plotPath,
pmap_dbl,
polypath,
prod,
ranef,
raw,
rawToHex,
ray_shade,
read.csv2,
read_file,
readWKB,
remove_missing,
removeNumbers,
rename_geom_aes,
renderCollapsibleTree,
renderPrint,
reorder_within,
rgl.material,
RNGversion,
rotatef,
roundrectGrob,
rowwise,
scalar_grobs,
scale_colour_viridis,
scale_colour_viridis_c,
scale_discrete_manual,
scale_point_color_hue,
scale_radius,
scale_x_sqrt,
sgbp,
sidebarMenu,
snake_class,
st_boundary,
st_contains,
st_convex_hull,
st_geod_distance,
st_jitter,
st_line_merge,
st_point_on_surface,
st_set_agr,
st_triangulate,
st_within,
st_zm,
str_extract_all,
strong,
tabItems,
tempdir,
TermDocumentMatrix,
text_grob,
textdata,
theme_bm_legend,
theme_gray,
theme_heatmap,
theme_samano,
theme_ver,
theme_waffle,
tidy.simple_triplet_matrix,
time_length,
tk_get_timeseries_summary,
tm_borders,
tmap_animation,
toJSON,
tt_available,
tt_datasets,
tt_years,
uiOutput,
unnest_tweets,
vec_to_tibble,
verbatimTextOutput,
visNetwork,
visOptions,
waffle_iron,
warn,
which_sfc_col,
wkb,
WKB_LINESTRING,
wrapper,
xml_attr,
%--%,
%notin%,
%within%,
.checkBounds,
.fun,
.image_scale,
.image_scale_factor,
?,
add_emoji,
add_guides,
add_logo,
add_padding,
add_strips,
addAwesomeMarkers,
alist,
all_vars,
ani.options,
animationOptions,
annotate_figure,
annotate_table,
anydate,
approxfun,
area_pal,
area_water,
args,
as.array,
as.hexmode,
as.name,
as.roman,
asis_output,
atan2,
augment_topicmodels,
autoviewer,
available_tags,
avanti_pal,
axes_labels,
barchart,
bb2merc,
bbox.MtrxSet,
bbox.MtrxSetSet,
bind_tf_idf_,
Box.test,
brick,
bsu_main,
build_slopegraph,
by_row,
"c(""#191970"", ""#FF7F50"")",
"c(""#3B454A"", lighten(""#3B454A"", 0.8))",
CA,
Cairo,
calc_spaced_offset,
calculate_normal,
callModule,
cartogram_cont,
cast_tdm,
cbind.data.frame,
cell_table,
cellGrob,
centrality_eigen,
check_factors,
circleRepelLayout,
circos.axis,
circos.clear,
circos.par,
circos.text,
circos.trackPlotRegion,
class<-,
classInt,
clmm,
cloud_prep_function,
col_integer,
colfunc,
collide,
colorNumeric,
cols_only,
compact,
conditionMessage,
conform,
content_transformer,
cool_pal,
coords2continent,
corCompSymm,
counties_sf,
CPL_circularstring_to_linestring,
CPL_crs_from_proj4string,
CPL_proj_version,
CPL_raw_to_hex,
CPL_set_data_dir,
cr_citation_count,
cran_downloads,
crystalPepsi_pal,
curveGrob,
data.matrix,
date_format,
dbDataType,
dbWriteTable,
dcauchy,
ddays,
degreeLabelsEW,
degreeLabelsNS,
delete_postgis_crs,
detect_duplicates,
df3,
df3_clean,
DirSource,
disable,
display_jpeg,
div,
draw_plot_label,
drlib,
ecdf,
emoGG,
emoji_get,
environment,
estimateEffect,
example,
exit_disappear,
expBB,
expect_equivalent,
expect_first_row,
expect_nrow,
expect_null,
export,
extract_legend,
f2,
fast_table,
fct_explicit_na,
fct_lump_min,
fifa_maps,
file_ext,
filter_at,
filter_meteorites,
filter_warning,
filteredData,
final_df,
fisher,
flatten_df,
floralShoppe_pal,
font_add,
fontawesome,
fracdiff,
FromDataFrameNetwork,
gather_set_data,
gCentroid,
gdal_subdatasets,
geocode_fips,
geom_arc,
geom_bin2d,
geom_bspline_closed,
geom_dotplot,
geom_flat_violin,
geom_flow,
geom_link2,
geom_parallel_sets,
geom_parallel_sets_axes,
geom_parallel_sets_labels,
geom_point_interactive,
geom_ridgeline_gradient,
geom_sf_text,
geom_spiro,
geom_subview,
geom_vridgeline,
geom_xspline2,
Get,
get_acs,
get_expr,
get_index_char,
get_lengths,
get_post_title,
get_scales,
get_time_scale_template,
getDocumentNames,
getNamespace,
getPlaylists,
getPlaylistSongs,
getValues,
getVocabulary,
GGally,
ggiraph,
ggmap,
ggpairs,
ggplot2::GeomSegment,
"ggproto_parent(ScaleDiscrete, self)",
ggtern,
GIF.convert,
globalVariables,
glue_collapse,
graph_attr,
grey,
grid.layout,
grid.raster,
gridExtra,
grobName,
group_by_all,
group_modify,
group_vars,
gs_key,
gs_read,
gtable_rbind,
gvisGeoChart,
has_scale,
head_of,
heat,
heat.colors,
hotlineBling_pal,
hyperBubble_pal,
Id,
image_annotate,
image_apply,
image_background,
image_crop,
image_flatten,
image_flip,
image_read_raster2,
image_scale,
image_write_frame,
ineq,
insistent_geocode,
insistently,
int_length,
intersect_line_circle,
invert_geom_defaults,
invlogit,
IQR,
is.atomic,
is.el_wrapper,
is.ggproto,
is.raw,
is.simple,
is.theme,
isoweek,
jazzCup_pal,
js_divergence_vec,
just_dir,
jwz_pal,
keep,
kknn,
kleinberg,
LDA,
leafletProxy,
leap_year,
levelplot,
likert,
likert.bar.plot,
link_coords,
load.image,
load_gdal,
load_variables,
loadedNamespaces,
local_degAxis,
locale,
localTitle,
locator,
log_zero,
macPlus_pal,
magick_device_internal,
magick_device_pop,
magick_image_composite,
magick_image_dead,
magick_image_shadow_mask,
make_area_grob,
make_date,
make_edges,
make_line_grob,
make_lines,
make_nodes,
make_point_grob,
make_vline_grob,
mallet,
mallSoft_pal,
map_if,
map_int,
markerClusterOptions,
match.call,
Matrix,
met_dummies,
months,
nargs,
ne_download,
ne_states,
Negate,
new_assemble,
new_tibble,
newRetro_pal,
nlme,
node_is_center,
nth,
number_format,
observe,
opp_sfc,
over,
p_bind,
p_vir,
p4,
pad,
paint_pomological,
palette,
parse_date,
parse_safe,
partial,
parula,
patchwork,
pdftools,
pivot_wider,
plot_all,
plot_anomalies,
plot_anomaly_decomposition,
plot_gc,
plot_heat,
plot_p,
plotly,
plotRGB,
pmap_chr,
pmap_lgl,
pnorm,
pool,
position_jitter,
position_nudge2,
position_points_jitter,
post_tidytuesday,
Postgres,
PostgreSQL,
prop,
pull_position_data,
rate_backoff,
rawConnection,
rawConnectionValue,
rawToChar,
rbind.sf,
read_csv2,
readMeta,
recordGraphics,
regex,
regex_left_join,
regex_right_join,
register_google,
registerS3method,
remove_empty,
render_movie,
rep_len,
repel_boxes2,
rerun,
rescale_reing,
resolution,
resolveHJust,
resolveVJust,
revgeocode,
rmapshaper,
roll_percent,
rpois,
RPostgres,
safely,
save_png,
scale_color_continuous,
scale_colour_scico,
scale_edge_color_identity,
scale_edge_color_manual,
scale_edge_width_identity,
scale_fill_carto_d,
scale_fill_expanse,
scale_fill_hp,
scale_fill_newRetro,
scale_fill_paletteer_c,
scale_fill_pomological,
scale_linetype_identity,
scale_point_size_continuous,
scale_shape_identity,
scale_size_discrete,
scale_x_reordered,
scale_y_sqrt,
school_districts,
seaPunk_pal,
seekViewport,
segments3d,
select_line_connection,
selectedData,
seq.int,
serialize,
Set,
setChildren,
setInternet2,
setup_doc,
setValues,
shadow_wake,
shiny,
shinyRenderWidget,
shinyWidgetOutput,
slow_revgeocode,
slowly_get_post_title,
spaced_sort,
spDists,
st_cast_sfc_default,
st_disjoint,
st_interpolate_aw,
st_is_valid,
st_read_db,
stack,
str_split_fixed,
str_subset,
strftime,
stri_extract_last_regex,
stri_replace_all_regex,
stri_wrap,
stringdist,
stripWhitespace,
strwrap,
style,
sunburst,
sunSet_pal,
sw_tidy_decomp,
symbols,
sys.call,
tableGrob,
tag_facet,
tail_of,
Tail1,
tanh,
terasvirta.test,
terms,
Terms,
test_text,
text_bc,
texts,
theme_arrowlong,
theme_base,
theme_econodist,
theme_economist_white,
theme_expanse,
theme_hidelabels,
theme_hideticks,
theme_hidetitles,
theme_ipsum_tw,
theme_pubclean,
theme_showarrows,
theme_solarized,
tidy.CTM,
tidy.LDA,
tidy_topicmodels,
tidy_triplet,
tidyselect,
tidytext,
tm_bubbles,
tm_compass,
tmap_save,
to_postgis,
tracts,
translate_shape_string,
Tricolore,
tseries,
tt_load,
tt_make_html,
tt_read_data.numeric,
tt_read_url,
tt_weeks,
ttheme_minimal,
turtle_hide,
turtle_init,
turtle_lwd,
tween_polygon,
unload_gdal,
unnest_character_shingles,
unnest_ngrams,
unnest_ptb,
unnest_regex,
unnest_sentences,
unnest_skip_ngrams,
unnest_tokens_,
unserialize,
update_geom_defaults,
upViewport,
url,
usa_sf,
valid_date,
vapoRwave_pal,
variety_selected,
varPower,
VCorpus,
Vectorize,
VectorSource,
vertex_attr,
visIgraph,
waffle,
wait_cr_citation_count,
webshot,
with_seed_null,
writePNG,
xinch,
xml_parent,
yday,
yinch,
$.crs,
%m-%,
%o%,
%prop%,
.degAxis,
.f,
.get_layout,
.lp_make_terms,
.lp_non_overlapping,
.predicate,
.process_style_opts,
abbr2state,
abort,
accumulate_by,
add_package_checks,
add_sub,
addMarkers,
addMiniMap,
addTaskCallback,
aes_to_scale,
agex,
animation_button,
animation_opts,
animation_slider,
anime_genre,
annotation_raster,
anyNA,
api_create,
apropos,
arrange_by_date,
as.call,
as.cimg,
as.Date.yearmon,
as.dfm,
as.DocumentTermMatrix,
as.igraph,
as.numeric_version,
as.TermDocumentMatrix,
as.ts,
as.xts,
as_datetime,
as_EBImage,
as_long_data_frame,
as_quosure,
as_tbl_graph,
as_wkb,
atop,
augment.CTM,
augPred,
autobrewed,
autoviewer_enable,
av,
av_video_images,
awesomeIcons,
axTicks,
base64_enc,
baseenv,
bb,
bbox.MtrxSetSetSet,
bbox.Set,
bbox_list,
bg3d,
bilineargrid,
blank,
body,
bold,
boot,
BoxCox,
BoxCox.lambda,
bplot,
bplot2,
"brewer.pal(12, ""Blues"")",
"brewer.pal(12, ""Paired"")",
"brewer.pal(8, ""Dark2"")",
brex_graph,
bridge_cond,
build_site,
bump,
"c(""red"", ""orange"", ""yellow"", ""green"", ""blue"", ""purple"")",
"c(""white"", ""white"")",
calculate_normal_cpp,
capture_message,
cast,
cast_dfm_,
cast_dtm_,
cast_sparse_,
cast_tdm_,
categ_table,
cbind.sf,
cent,
centrality_edge_betweenness,
charmatch,
chartByYear,
chartr,
chartWOYear,
check_breaks_labels,
check_clean_anomalies_input,
check_variance,
chorddiag,
circ,
circlepackeR,
circleVertices,
circos.rect,
clean_columns,
clean_text_variable,
cli,
clickOpts,
Clone,
close_polygon_or_multipolygon,
cluster_infomap,
cmdscale,
col_time,
colorBin,
colorblindr,
colorRamp,
colors,
comment,
commonality.cloud,
comparison.cloud,
compute_density,
compute_group,
contourplot,
convert_EBImage,
convertX,
convertY,
cor_test,
cor_test_2,
corbyn,
corrgram,
corSymm,
count_levels_char,
count_levels_num,
cpal,
CPL_area,
CPL_compoundcurve_to_linear,
CPL_crs_equivalent,
CPL_crs_from_epsg,
CPL_crs_from_wkt,
CPL_crs_parameters,
CPL_curve_to_linestring,
CPL_gdal_cleanup_all,
CPL_gdal_dimension,
CPL_gdal_init,
CPL_gdal_linestring_sample,
CPL_gdal_segmentize,
CPL_gdal_warper,
CPL_gdal_with_geos,
CPL_gdalbuildvrt,
CPL_gdaldemprocessing,
CPL_gdalgrid,
CPL_gdalinfo,
CPL_gdalnearblack,
CPL_gdalrasterize,
CPL_gdaltranslate,
CPL_gdalvectortranslate,
CPL_gdalwarp,
CPL_geos_binop,
CPL_geos_dist,
CPL_geos_is_empty,
CPL_geos_is_simple,
CPL_geos_nearest_feature,
CPL_geos_nearest_points,
CPL_geos_op2,
CPL_geos_snap,
CPL_geos_voronoi,
CPL_length,
CPL_multisurface_to_multipolygon,
CPL_nary_difference,
CPL_nary_intersection,
CPL_proj_h,
CPL_proj_is_valid,
CPL_use_proj4_init_rules,
crayon,
create_doc,
create_layout,
create_report,
create_vars,
cshp,
curl,
curl_download,
current.viewport,
current.viewport.aspect,
current.viewport.size,
curve,
custom_theme2,
cut_number,
cvd_grid,
d,
d3tree,
dark_theme_bw,
dark_theme_grey,
dark_theme_minimal,
Data,
datatable,
dateRangeInput,
dbListTables,
decomp,
decompose_stl,
decompose_twitter,
describe,
dev,
dev.cur,
deviance,
df.residual,
df_global,
df_salaries,
df_salaries_tidy,
df_to_tibble,
dfm,
dfSummary,
diag<-,
diameter,
dictionary,
discrete_range,
display.brewer.pal,
display_gif,
display_html,
display_png,
display_svg,
do_package_checks,
do_pkgdown,
do_progressive_layout,
doCirclePack,
Docs,
docvars,
draw_image,
drop_date_and_group_cols,
dummy,
dup_axis,
dyOptions,
EBImage,
ecdf_fun,
econodist_legend_grob,
edge_betweenness,
edge_is_multiple,
emoji_search,
emojisGrob,
enable,
enc2native,
ends_with,
enter_grow,
epa_rd_budget,
eu_grid1,
exit_recolour,
expect_match,
expr_text,
f_eval,
facet_col,
factoextra,
FactoMineR,
fct_drop,
fct_other,
fct_reorder2,
fig_path,
file.info,
fill_find_groups,
fillFun,
find_chain_parts,
find_strip_pos,
find_tz,
findfrequency,
flatten_dbl,
floor_dec_v,
font,
font_families_google,
formals,
formatStyle,
fraFatByYear,
frequency,
func,
fviz_ca_biplot,
fviz_eig,
fviz_pca_biplot,
fviz_pca_var,
gdal_crs,
gdal_inv_geotransform,
gdal_read,
gen_circle_psf,
gen_ellipse,
gen_hex_psf,
genre_average,
geocode,
geojson_read,
geom_blank,
geom_econodist,
geom_edge_arc2,
geom_edge_density,
geom_edge_fan,
geom_edge_link2,
geom_errorbarh,
geom_mark_ellipse,
geom_mosaic,
geom_nodelab,
geom_shadowtext,
geom_sina,
geom_tiplab,
geom_treemap_subgroup_border,
geom_treemap_subgroup_text,
geom_voronoi,
geometry_point,
GeomPolygon,
gesd,
get.knnx,
get_breaks,
get_env,
get_geoms,
get_googlemap,
get_l,
get_labels,
get_method_col,
get_possibly_new_srid,
get_rgl_material,
get_stats,
get_tt_html,
getAlbumInfo,
getColor,
getFeatures,
getFX,
getLevels,
GetMap,
getThemeInfo,
getURLContent,
gg,
ggcorr,
ggcorrplot,
ggdark,
ggEditUI,
ggparallel,
ggplot_waterfall,
"ggproto_parent(StatBin, self)",
ggridges,
ggseasonplot,
ggsurvplot,
ggtree,
ggvoronoi,
gifski_renderer,
glance.CTM,
glance.LDA,
glance_old,
gList,
glob2rx,
globalenv,
globejs,
gnls,
gplots,
gq,
graphics.off,
graticule_attributes,
grayscale,
grid.circle,
group_cols,
group_infomap,
group_map,
groupedData,
gS,
gtable,
guide_edge_colorbar,
h,
h1,
h5,
h6,
has_error,
hat,
have_name,
hex_grid,
Hexagon,
hide_legend,
hm,
Hmisc,
hour,
hrbrthemes,
htmltab,
huehn,
hunspell,
hunspell_parse,
image.plot,
image_blur,
image_border,
image_browse,
image_compare,
image_convert,
image_hough_draw,
image_read_nativeraster,
image_readbitmap,
image_rotate,
in.out,
in_base_dir,
include_graphics,
includeCSS,
insert,
inset,
install_symbolic_unit,
interactive,
intervals,
inv.logit,
InvBoxCox,
invert_theme_elements,
invokeRestart,
iqr,
is.array,
is.assemble_cell,
is.cellgrob,
is.Date,
is.dfm,
is.double,
is.expression,
is.raster,
is.valid_plot,
is_alluvia_form,
is_formula,
is_geometry_column,
is_latex,
is_mac,
is_new_month,
is_null,
is_only_diag,
is_outlier,
is_position_aes,
is_quosure,
isoblur,
isS4,
iterate_layout,
jpg_dim,
js_divergence,
jsonlite,
jupyter_print_image,
knit_print.magick-image,
knitr::opts_knit,
labelOptions,
lambshade_cpp,
laply,
largest_ring,
lazyeval,
leg,
lexicon_afinn,
lexicon_loughran,
