"","Sample","text"
"1",4,"Work has been nuts recently - trying to relieve some stress by working on some older #TidyTuesday weeks. Here's week 2, NFL salaries and positions! 

code: https://t.co/gbY70W2kpy https://t.co/pHawxBsLxQ"
"2",4,"A little Tidy weekend for me - played around a bit more with this data. It would be cool to look at how different countries spend they GDP. #TidyTuesday #ggplot #rstats #dataviz https://t.co/TRHcTXClpx"
"3",4,"Back to school with #TidyTuesday! <U+0001F468><U+0001F3FB><U+200D><U+0001F3EB><U+0001F3EB>
Compared to other OECD members, Mexico primary classes seem to be overcrowded <U+0001F1F2><U+0001F1FD>
#RStats #DataViz #Tidyverse https://t.co/t7Gl9nDxc8"
"4",4,"Extremely late #TidyTuesday submission but better late than never! Shows cancer mortality rates across the globe. #rstats #plotly https://t.co/Y58OCn08Hr"
"5",4,"#TidyTuesday wk 11 is on board games! I focused on dice-rolling games lasting &gt; 2 hrs (i.e. resemble the highly-rated Twilight Struggle). Games w/ consistently high ratings have 2 max. players, regardless of length. Suggests player number, not length, matters more (?) https://t.co/VL3ON2Fhsm"
"6",4,"Late to the #TidyTuesday Meteorite <U+2604><U+FE0F>party. Saw some very impressive maps from people this week! You guys are inspiring me to step up my ggplot skills (I'm used to leaflet maps). Also challenging myself next round to combine plots in one graphic with plot_grid. #RStats https://t.co/fRk97xNjfo"
"7",4,"#TidyTuesday and #rspatial gone wrong <U+0001F923> @accidental__aRt https://t.co/AbxBYsw7ve"
"8",4,"This week 2018-11-13 challenge: #TidyTuesday #rstats ( little late <U+0001F605> )
tried tmap + animation on one of malaria's dataset. ( https://t.co/kCzsOGVI7T )
check 2nd tweet as I can't put 2 gifs in one <U+0001F60B> https://t.co/cgRLUrrAi1"
"9",4,"My third #TidyTuesday, wow European Starling are so dominant especially in 1960-2000, though the number are greatly varied year by year. It's no surprise that the more you invested your time to watch birds, the more species you could find. code: https://t.co/pCISkOpmBc https://t.co/dbcHoAWE4X"
"10",4,"My second #TidyTuesday submission.... Tried to do my best...though I m not sure how good it is!!  Any feedback or idea is highly appreciated 
#dataviz #ggplot2 #tidyverse #rstudio https://t.co/U1LTsKptNg"
"11",4,"#rstats #tidytuesday week 2 @R4DScommunity  data from @TheEconomist  Tv  shows imdb ratings(1990-2018). Boxplot of the ratings of the ten longest running shows. Supernatural did well. all seasons above 8.
code: https://t.co/yLVcQSsnOC https://t.co/5G5mdv8FqN"
"12",4,"It's a bird! It's a plane! No- It's #TidyTuesday and it's definitely a meteorite!!
Code here: https://t.co/OzByjhRi72
@R4DScommunity @WeAreRLadies @RLadiesSTL https://t.co/IaqekRkkoA"
"13",4,"I had some fun with gganimate and histograms for this weeks' #TidyTuesday #TardyTuesday on space launches. Wanted to leave each bar as a shadow_mark in addition to trail, but couldn't figure out how to do them together. But pretty happy with it overall!  https://t.co/bOh5XwfPBi https://t.co/AWYJcWFjTY"
"14",4,"Took a looooong break and finally got my ggplot groove back on. <U+0001F60E>Special Thanks to @_LouiseRP !! I used your super code to make these plots and learnt to plot on a map! YAY! <U+0001F603><U+0001F603>
PS- Love how India stands out in the population map! <U+0001F1EE><U+0001F1F3><U+0001F62C><U+0001F61D>
#TidyTuesday https://t.co/y8q6UJE6vp"
"15",4,"The experimental new #dtplyr package translates #dplyr code into a fast #datatables backend, making the resulting data manipulation much faster! #rstats #tidyverse #tidytuesday https://t.co/NnIhz6nJCv"
"16",4,"this is my attempt to visualize the same data
#TidyTuesday #rstats #dataviz 
code: https://t.co/wVFl9kwckC https://t.co/H9BQIBDi1N"
"17",4,"The code of yesterday and today's figures can now be found on github, as well as some thoughts about why #Tidytuesday is such a great idea.
https://t.co/385MEvVBwK https://t.co/DwWpCwPYH2"
"18",4,"For this week’s #TidyTuesday I wanted to make an aesthetically pleasing but intentionally misleading plot, starting from someone else’s good one.

So, here is the original by @theotheredgar and my (worse) version:

code: https://t.co/zdAdw7XRZa https://t.co/UpLVo179OL"
"19",4,"ggpol package being used to the Emperors data-set did not lead to any disappointment, but could have been better if I would have chosen better colors. Also better to have the birthright of being the emperor than any other way.  GitHub Code :  https://t.co/Mpyw44bEcj #Tidytuesday https://t.co/vAIH47Wlms"
"20",4,"#TidyTuesday 2019, week 15. Interesting that the French Open has so many first time winners. 
#r4ds #dataviz #datascience #rstats
Also, Pete Sampras will always be the GOAT. https://t.co/k5eGxAYZFs"
"21",4,"Exploring week 10 #TidyTuesday data such a rich interesting dataset. First thing I have created is the graph below looking how the max speed for a given distance compares for casual and subscriber payment plans #rstats https://t.co/jv8qfzWW7M"
"22",4,"Here are my first figures for the #TidyTuesday challenge (week 37 of last year, better late than never!). It was the perfect occasion to learn a bit about the lubridate<U+0001F4E6>#r4ds #rstats #dataviz https://t.co/1ZpGdKjZ8A"
"23",4,"This #TidyTuesday is about bird collisions! <U+0001F3E0><U+0001F426>

Sadly the number of collisions has been increasing through time, especially in the mid-'00s.

The number of collisions is large for birds doing flight calls which also live in the forest and fly in low altitudes. https://t.co/399bsuXkJO"
"24",4,"Another belated #tidytuesday - here I was trying to take a complicated table from an article and make it a bit easier to understand, not sure if it was 100% successful. Blog post talking through my thoughts: https://t.co/qsCOx6N9Fk
Code is on github: https://t.co/Lu6AGEcota https://t.co/dp2JQLNiEH"
